book,chapter_number,word_count
1 Chronicles,1,579
1 Chronicles,10,354
1 Chronicles,11,922
1 Chronicles,12,837
1 Chronicles,13,373
1 Chronicles,14,334
1 Chronicles,15,663
1 Chronicles,16,804
1 Chronicles,17,738
1 Chronicles,18,396
1 Chronicles,19,577
1 Chronicles,2,744
1 Chronicles,20,275
1 Chronicles,21,879
1 Chronicles,22,570
1 Chronicles,23,625
1 Chronicles,24,502
1 Chronicles,25,484
1 Chronicles,26,702
1 Chronicles,27,690
1 Chronicles,28,776
1 Chronicles,29,942
1 Chronicles,3,308
1 Chronicles,4,743
1 Chronicles,5,589
1 Chronicles,6,1140
1 Chronicles,7,685
1 Chronicles,8,419
1 Chronicles,9,869
1 Corinthians,1,631
1 Corinthians,10,642
1 Corinthians,11,704
1 Corinthians,12,603
1 Corinthians,13,253
1 Corinthians,14,844
1 Corinthians,15,1170
1 Corinthians,16,432
1 Corinthians,2,359
1 Corinthians,3,439
1 Corinthians,4,490
1 Corinthians,5,310
1 Corinthians,6,449
1 Corinthians,7,986
1 Corinthians,8,279
1 Corinthians,9,671
1 John,1,245
1 John,2,724
1 John,3,545
1 John,4,482
1 John,5,494
1 Kings,1,1440
1 Kings,10,797
1 Kings,11,1234
1 Kings,12,991
1 Kings,13,1093
1 Kings,14,928
1 Kings,15,940
1 Kings,16,1003
1 Kings,17,646
1 Kings,18,1347
1 Kings,19,723
1 Kings,2,1432
1 Kings,20,1363
1 Kings,21,852
1 Kings,22,1453
1 Kings,3,821
1 Kings,4,658
1 Kings,5,499
1 Kings,6,976
1 Kings,7,1395
1 Kings,8,2037
1 Kings,9,784
1 Peter,1,579
1 Peter,2,552
1 Peter,3,535
1 Peter,4,428
1 Peter,5,293
1 Samuel,1,754
1 Samuel,10,846
1 Samuel,11,479
1 Samuel,12,781
1 Samuel,13,681
1 Samuel,14,1579
1 Samuel,15,953
1 Samuel,16,654
1 Samuel,17,1661
1 Samuel,18,789
1 Samuel,19,674
1 Samuel,2,1110
1 Samuel,20,1217
1 Samuel,21,480
1 Samuel,22,732
1 Samuel,23,799
1 Samuel,24,646
1 Samuel,25,1341
1 Samuel,26,830
1 Samuel,27,380
1 Samuel,28,780
1 Samuel,29,422
1 Samuel,3,527
1 Samuel,30,843
1 Samuel,31,339
1 Samuel,4,693
1 Samuel,5,427
1 Samuel,6,735
1 Samuel,7,507
1 Samuel,8,520
1 Samuel,9,940
1 Thessalonians,1,238
1 Thessalonians,2,481
1 Thessalonians,3,302
1 Thessalonians,4,402
1 Thessalonians,5,416
1 Timothy,1,433
1 Timothy,2,256
1 Timothy,3,315
1 Timothy,4,311
1 Timothy,5,500
1 Timothy,6,499
2 Chronicles,1,496
2 Chronicles,10,533
2 Chronicles,11,450
2 Chronicles,12,456
2 Chronicles,13,598
2 Chronicles,14,430
2 Chronicles,15,510
2 Chronicles,16,453
2 Chronicles,17,391
2 Chronicles,18,988
2 Chronicles,19,344
2 Chronicles,2,572
2 Chronicles,20,1079
2 Chronicles,21,592
2 Chronicles,22,452
2 Chronicles,23,762
2 Chronicles,24,893
2 Chronicles,25,895
2 Chronicles,26,687
2 Chronicles,27,231
2 Chronicles,28,868
2 Chronicles,29,1119
2 Chronicles,3,428
2 Chronicles,30,843
2 Chronicles,31,716
2 Chronicles,32,1089
2 Chronicles,33,767
2 Chronicles,34,1173
2 Chronicles,35,890
2 Chronicles,36,723
2 Chronicles,4,525
2 Chronicles,5,457
2 Chronicles,6,1333
2 Chronicles,7,697
2 Chronicles,8,497
2 Chronicles,9,842
2 Corinthians,1,601
2 Corinthians,10,411
2 Corinthians,11,718
2 Corinthians,12,600
2 Corinthians,13,335
2 Corinthians,2,385
2 Corinthians,3,390
2 Corinthians,4,411
2 Corinthians,5,486
2 Corinthians,6,340
2 Corinthians,7,437
2 Corinthians,8,565
2 Corinthians,9,366
2 John,,298
2 Kings,1,634
2 Kings,10,1170
2 Kings,11,705
2 Kings,12,684
2 Kings,13,765
2 Kings,14,855
2 Kings,15,1086
2 Kings,16,658
2 Kings,17,1218
